,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,state,time
68,-32.7,150.129,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,55,6.0NRT,300.0,21.4,D,New South Wales,2019-12
69,-32.705,150.172,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,96,6.0NRT,309.9,91.7,D,New South Wales,2019-12
70,-32.707,150.186,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,96,6.0NRT,307.5,90.7,D,New South Wales,2019-12
71,-32.709,150.112,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,305.0,194.1,D,New South Wales,2019-12
72,-32.711,150.127,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,310.0,193.0,D,New South Wales,2019-12
73,-32.72,150.11,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,92,6.0NRT,304.7,69.0,D,New South Wales,2019-12
74,-32.721,150.125,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,94,6.0NRT,309.7,76.5,D,New South Wales,2019-12
75,-32.765,150.083,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,53,6.0NRT,312.9,22.4,D,New South Wales,2019-12
76,-32.877,150.603,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,66,6.0NRT,306.7,24.9,D,New South Wales,2019-12
77,-32.991,150.186,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,89,6.0NRT,311.0,52.6,D,New South Wales,2019-12
78,-32.982,149.918,moderate,1.3,1.1,2019-12-29,1970-01-01 00:00:00.000000025,T,96,6.0NRT,311.8,81.7,D,New South Wales,2019-12
79,-32.988,149.978,moderate,1.3,1.1,2019-12-29,1970-01-01 00:00:00.000000025,T,86,6.0NRT,311.1,40.0,D,New South Wales,2019-12
80,-33.002,150.006,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,90,6.0NRT,311.4,55.8,D,New South Wales,2019-12
81,-33.004,150.021,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,85,6.0NRT,308.6,44.2,D,New South Wales,2019-12
82,-33.009,150.014,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,88,6.0NRT,309.8,50.4,D,New South Wales,2019-12
83,-33.017,149.983,moderate,1.3,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,82,6.0NRT,310.3,30.1,D,New South Wales,2019-12
84,-33.027,149.98,moderate,1.3,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,72,6.0NRT,309.4,22.5,D,New South Wales,2019-12
85,-33.029,149.995,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,45,6.0NRT,308.6,14.2,D,New South Wales,2019-12
86,-33.039,149.993,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,90,6.0NRT,310.9,54.0,D,New South Wales,2019-12
87,-33.051,150.006,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,81,6.0NRT,310.7,39.0,D,New South Wales,2019-12
88,-33.131,150.236,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,83,6.0NRT,309.7,40.9,D,New South Wales,2019-12
89,-33.222,150.957,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,50,6.0NRT,305.2,20.9,D,New South Wales,2019-12
90,-33.192,150.068,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,73,6.0NRT,310.5,37.7,D,New South Wales,2019-12
91,-33.2,150.051,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,71,6.0NRT,312.6,38.0,D,New South Wales,2019-12
92,-33.197,150.061,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,87,6.0NRT,311.5,39.8,D,New South Wales,2019-12
93,-33.228,150.055,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,83,6.0NRT,314.2,31.4,D,New South Wales,2019-12
94,-33.23,150.069,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,87,6.0NRT,311.7,43.5,D,New South Wales,2019-12
95,-33.417,150.415,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,46,6.0NRT,304.0,14.3,D,New South Wales,2019-12
96,-33.453,150.346,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,98,6.0NRT,302.3,114.0,D,New South Wales,2019-12
97,-33.454,150.361,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,93,6.0NRT,305.4,80.2,D,New South Wales,2019-12
98,-33.747,150.143,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,87,6.0NRT,294.6,66.2,D,New South Wales,2019-12
99,-33.749,150.159,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,99,6.0NRT,299.5,129.9,D,New South Wales,2019-12
100,-33.758,150.142,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,298.0,178.8,D,New South Wales,2019-12
101,-33.759,150.157,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,300.4,352.8,D,New South Wales,2019-12
102,-33.752,150.152,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,307.7,356.9,D,New South Wales,2019-12
103,-33.754,150.168,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,77,6.0NRT,296.9,55.4,D,New South Wales,2019-12
104,-33.745,149.981,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,64,6.0NRT,311.3,30.2,D,New South Wales,2019-12
105,-33.746,149.996,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,48,6.0NRT,307.0,22.9,D,New South Wales,2019-12
106,-33.763,150.151,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,90,6.0NRT,292.6,101.3,D,New South Wales,2019-12
107,-33.778,149.992,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,84,6.0NRT,305.7,42.9,D,New South Wales,2019-12
108,-33.78,150.007,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,312.8,334.2,D,New South Wales,2019-12
109,-33.781,150.022,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,71,6.0NRT,301.0,52.7,D,New South Wales,2019-12
110,-33.788,150.083,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,78,6.0NRT,301.2,64.0,D,New South Wales,2019-12
111,-33.79,150.1,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,55,6.0NRT,296.7,41.3,D,New South Wales,2019-12
