,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,radiative_power,daynight,state
1619,2466,6130,6130,-37.411,148.303,moderate,1.1,1.0,2019-12-30,1310,T,99,6.0NRT,301.6,11.6,N,Victoria
1620,1934,22419,22419,-36.023,136.731,very high,1.1,1.0,2020-01-03,500,A,100,6.0NRT,400.1,0.0,D,South Australia
1621,2081,12400,12400,-31.61,152.103,low,1.8,1.3,2019-12-31,1215,T,100,6.0NRT,297.6,39.2,N,New South Wales
1622,3526,3411,3411,-28.706,128.794,moderate,2.2,1.4,2019-12-30,105,T,37,6.0NRT,305.5,27.9,D,Western Australia
1623,2445,7250,7250,-36.083,149.81,moderate,1.3,1.1,2019-12-30,1310,T,100,6.0NRT,301.9,192.0,N,New South Wales
1624,4981,22489,22489,-35.962,136.784,moderate,1.1,1.0,2020-01-03,500,A,100,6.0NRT,304.8,0.0,D,South Australia
1625,4246,21582,21582,-37.683,148.759,low,1.0,1.0,2020-01-02,1520,A,100,6.0NRT,291.5,45.2,N,Victoria
1626,3373,3904,3904,-36.031,149.856,moderate,1.2,1.1,2019-12-30,345,A,94,6.0NRT,304.8,66.8,D,New South Wales
1627,2361,33929,33929,-32.681,150.034,very low,1.3,1.1,2020-01-05,1235,T,31,6.0NRT,286.0,13.3,N,New South Wales
1628,4413,31205,31205,-31.77,151.788,moderate,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,301.0,16.0,N,New South Wales
1629,3179,17691,17691,-20.642,148.591,low,2.1,1.4,2020-01-01,2355,T,45,6.0NRT,297.9,19.4,D,Queensland
1630,2382,6656,6656,-37.173,148.298,very high,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,321.5,369.8,N,Victoria
1631,3160,34703,18239,-16.597,137.983,moderate,1.2,1.1,2020-01-02,420,A,41,6.0NRT,307.0,15.9,D,Northern Territory
1632,3598,17713,17713,-29.318,152.013,moderate,1.0,1.0,2020-01-01,2355,T,83,6.0NRT,308.9,28.3,D,New South Wales
1633,872,2452,2452,-28.532,128.553,moderate,1.0,1.0,2019-12-29,1405,T,58,6.0NRT,303.0,5.8,N,Western Australia
1634,1227,8733,8733,-32.722,150.124,low,1.8,1.3,2019-12-30,1445,A,100,6.0NRT,296.4,57.1,N,New South Wales
1635,3122,23307,23307,-37.382,148.165,low,1.3,1.1,2020-01-03,1245,T,83,6.0NRT,292.3,15.6,N,Victoria
1636,1683,13721,13721,-19.91,144.546,high,1.3,1.1,2020-01-01,50,T,89,6.0NRT,313.5,46.2,D,Queensland
1637,4377,30042,30042,-37.663,149.105,very low,2.0,1.4,2020-01-04,1325,T,89,6.0NRT,289.1,102.7,N,Victoria
1638,3929,25789,25789,-37.119,146.999,high,1.8,1.3,2020-01-03,2345,T,100,6.0NRT,313.1,1177.3,D,Victoria
1639,4613,18056,18056,-20.157,144.066,high,1.2,1.1,2020-01-02,420,A,100,6.0NRT,311.7,145.6,D,Queensland
1640,4580,25449,25449,-37.032,148.317,moderate,1.5,1.2,2020-01-03,2345,T,82,6.0NRT,306.7,73.4,D,Victoria
1641,4261,4630,4630,-33.283,136.95,very high,2.7,1.6,2019-12-30,525,A,100,6.0NRT,326.0,4395.6,D,South Australia
1642,3478,20708,20708,-35.402,147.976,low,1.0,1.0,2020-01-02,1515,A,100,6.0NRT,292.6,23.6,N,New South Wales
1643,835,8084,8084,-33.824,150.072,moderate,1.5,1.2,2019-12-30,1310,T,100,6.0NRT,300.3,90.3,N,New South Wales
1644,3647,29228,29228,-35.296,147.824,very high,1.0,1.0,2020-01-04,405,A,90,6.0NRT,325.6,24.2,D,New South Wales
1645,4427,10954,10954,-35.628,149.968,moderate,1.1,1.0,2019-12-31,10,T,61,6.0NRT,301.0,23.7,D,New South Wales
1646,1941,22559,22559,-35.925,136.713,very high,1.1,1.0,2020-01-03,500,A,100,6.0NRT,320.9,0.0,D,South Australia
1647,3323,10349,10349,-32.56,150.53,high,1.0,1.0,2019-12-31,10,T,82,6.0NRT,313.0,27.7,D,New South Wales
1648,1197,27796,27796,-36.125,149.534,moderate,1.0,1.0,2020-01-04,400,A,93,6.0NRT,305.7,43.5,D,New South Wales
1649,1508,33545,33545,-17.108,144.185,moderate,1.4,1.2,2020-01-05,25,T,74,6.0NRT,304.2,15.6,D,Queensland
1650,1786,19103,19103,-33.898,150.433,low,1.6,1.2,2020-01-02,415,A,65,6.0NRT,298.7,39.9,D,New South Wales
1651,713,14736,14736,-30.864,132.754,very high,1.1,1.1,2020-01-01,510,A,79,6.0NRT,326.7,16.7,D,South Australia
1652,305,7711,7711,-35.913,147.575,moderate,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,302.2,22.1,N,New South Wales
1653,847,5866,5866,-37.481,148.379,moderate,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,309.3,0.0,N,Victoria
1654,3687,25892,25892,-37.629,148.923,moderate,1.4,1.2,2020-01-03,2345,T,45,6.0NRT,302.7,20.0,D,Victoria
1655,2030,2203,2203,-30.877,123.612,moderate,2.0,1.4,2019-12-29,1405,T,100,6.0NRT,308.9,522.3,N,Western Australia
1656,2543,22507,22507,-35.96,136.734,very high,1.1,1.0,2020-01-03,500,A,100,6.0NRT,400.1,0.0,D,South Australia
1657,1571,27643,27643,-36.241,149.498,high,1.0,1.0,2020-01-04,400,A,90,6.0NRT,312.4,33.7,D,New South Wales
1658,3266,32954,32954,-37.415,149.817,very low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,280.9,85.6,N,New South Wales
1659,235,32315,32315,-37.209,149.855,very low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,279.6,0.0,N,New South Wales
1660,2013,20976,20976,-36.469,149.711,very low,1.1,1.0,2020-01-02,1515,A,94,6.0NRT,288.8,17.4,N,New South Wales
1661,4762,13442,13442,-37.587,148.157,very low,1.2,1.1,2019-12-31,1530,A,97,6.0NRT,289.3,41.9,N,Victoria
1662,4075,23283,23283,-37.386,148.836,low,1.2,1.1,2020-01-03,1245,T,60,6.0NRT,296.0,10.1,N,Victoria
1663,3165,32899,32899,-37.324,149.291,very low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,288.4,36.5,N,Victoria
1664,4942,112,112,-33.79,150.006,moderate,1.4,1.2,2019-12-29,25,T,100,6.0NRT,306.2,167.7,D,New South Wales
1665,997,11785,11785,-32.616,150.261,moderate,2.5,1.5,2019-12-31,430,A,72,6.0NRT,307.6,84.3,D,New South Wales
1666,1846,8883,8883,-34.882,150.319,low,1.6,1.2,2019-12-30,1445,A,73,6.0NRT,298.3,23.3,N,New South Wales
1667,2940,32405,32405,-37.163,149.319,very low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,270.4,53.4,N,New South Wales
