,Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,state
27484,27484,-36.335,149.548,moderate,1.0,1.0,2020-01-04,400,A,81,6.0NRT,309.5,21.9,D,New South Wales
20281,20281,-37.67,148.77,very low,2.9,1.6,2020-01-02,1340,T,80,6.0NRT,289.1,84.6,N,Victoria
3303,3303,-21.357,140.803,high,1.2,1.1,2019-12-30,105,T,80,6.0NRT,319.2,21.5,D,Queensland
2890,2890,-37.682,149.481,low,2.2,1.4,2019-12-29,1540,A,74,6.0NRT,293.4,35.3,N,Victoria
27691,27691,-36.211,149.514,moderate,1.0,1.0,2020-01-04,400,A,76,6.0NRT,309.3,21.0,D,New South Wales
18068,18068,-19.822,144.561,very high,1.2,1.1,2020-01-02,420,A,92,6.0NRT,320.6,37.0,D,Queensland
4046,4046,-34.937,150.521,moderate,1.1,1.1,2019-12-30,345,A,63,6.0NRT,308.7,14.0,D,New South Wales
24805,24805,-31.327,151.288,high,1.4,1.2,2020-01-03,2345,T,97,6.0NRT,312.2,85.3,D,New South Wales
1486,1486,-28.189,121.221,very high,2.7,1.6,2019-12-29,620,A,87,6.0NRT,323.9,97.4,D,Western Australia
3978,3978,-35.169,150.039,very high,1.2,1.1,2019-12-30,345,A,100,6.0NRT,336.1,587.0,D,New South Wales
15947,15947,-36.312,147.96,low,1.0,1.0,2020-01-01,1255,T,100,6.0NRT,292.1,29.2,N,Victoria
17286,17286,-36.95,146.833,very low,4.6,2.0,2020-01-01,1615,A,73,6.0NRT,286.3,88.5,N,Victoria
4258,4258,-32.649,150.79,high,1.0,1.0,2019-12-30,345,A,97,6.0NRT,316.2,62.0,D,New South Wales
14974,14974,-16.047,128.006,low,1.0,1.0,2020-01-01,515,A,55,6.0NRT,299.6,8.3,D,Western Australia
15900,15900,-36.483,147.704,very low,1.0,1.0,2020-01-01,1255,T,100,6.0NRT,285.6,26.8,N,Victoria
29450,29450,-34.328,150.34,high,1.1,1.0,2020-01-04,405,A,100,6.0NRT,318.9,95.7,D,New South Wales
21552,21552,-37.641,148.589,very low,1.0,1.0,2020-01-02,1520,A,32,6.0NRT,288.8,11.3,N,Victoria
31760,31760,-34.738,150.294,low,1.0,1.0,2020-01-04,1505,A,76,6.0NRT,292.2,20.5,N,New South Wales
302,302,-24.688,127.332,high,1.4,1.2,2019-12-29,200,T,99,6.0NRT,315.5,94.9,D,Western Australia
6236,6236,-37.405,148.161,high,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,315.0,217.6,N,Victoria
24569,24569,-35.705,149.93,low,4.5,1.9,2020-01-03,1600,A,45,6.0NRT,290.5,51.3,N,New South Wales
29562,29562,-32.657,151.006,high,1.2,1.1,2020-01-04,405,A,63,6.0NRT,317.7,45.1,D,New South Wales
16308,16308,-35.46,147.876,low,1.0,1.0,2020-01-01,1255,T,68,6.0NRT,291.1,13.6,N,New South Wales
30761,30761,-36.095,147.57,low,1.8,1.3,2020-01-04,1325,T,99,6.0NRT,291.6,36.2,N,Victoria
17838,17838,-31.112,132.73,very high,1.5,1.2,2020-01-02,135,T,100,6.0NRT,330.7,300.0,D,South Australia
8973,8973,-35.606,149.913,moderate,1.6,1.3,2019-12-30,1445,A,100,6.0NRT,303.7,290.9,N,New South Wales
28462,28462,-35.721,149.884,very high,1.0,1.0,2020-01-04,400,A,100,6.0NRT,340.8,407.5,D,New South Wales
26406,26406,-37.133,148.087,low,1.0,1.0,2020-01-04,400,A,100,6.0NRT,297.5,101.6,D,Victoria
31748,31748,-34.73,150.291,low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,291.9,63.4,N,New South Wales
21508,21508,-37.605,148.596,very low,1.0,1.0,2020-01-02,1520,A,20,6.0NRT,288.4,6.8,N,Victoria
6967,6967,-36.359,149.589,low,1.3,1.1,2019-12-30,1310,T,100,6.0NRT,296.2,31.7,N,New South Wales
33177,33177,-37.387,149.171,very low,1.0,1.0,2020-01-04,1505,A,53,6.0NRT,287.1,9.0,N,Victoria
22185,22185,-36.079,148.453,moderate,3.5,1.8,2020-01-03,320,A,51,6.0NRT,302.3,50.4,D,New South Wales
4093,4093,-34.283,150.235,moderate,1.1,1.1,2019-12-30,345,A,36,6.0NRT,308.0,12.3,D,New South Wales
4133,4133,-33.94,150.87,high,1.1,1.0,2019-12-30,345,A,58,6.0NRT,310.7,3.4,D,New South Wales
12530,12530,-41.547,147.914,very low,3.0,1.7,2019-12-31,1350,T,94,6.0NRT,284.2,111.2,N,Tasmania
18185,18185,-17.381,145.224,moderate,1.5,1.2,2020-01-02,420,A,73,6.0NRT,304.4,28.0,D,Queensland
29313,29313,-34.85,150.419,very high,1.1,1.0,2020-01-04,405,A,100,6.0NRT,328.8,285.2,D,New South Wales
8021,8021,-34.347,150.372,low,1.5,1.2,2019-12-30,1310,T,100,6.0NRT,296.0,31.4,N,New South Wales
17289,17289,-38.086,141.899,very low,2.3,1.5,2020-01-01,1615,A,45,6.0NRT,286.8,26.6,N,Victoria
34411,5167,-24.397,129.139,high,1.3,1.1,2019-12-30,525,A,100,6.0NRT,314.3,846.4,D,Northern Territory
17960,17960,-32.423,123.577,moderate,1.3,1.1,2020-01-02,135,T,100,6.0NRT,302.2,287.5,D,Western Australia
12745,12745,-30.185,150.055,low,1.3,1.1,2019-12-31,1530,A,69,6.0NRT,296.2,6.7,N,New South Wales
26961,26961,-36.64,149.657,very high,1.0,1.0,2020-01-04,400,A,100,6.0NRT,327.5,237.6,D,New South Wales
17488,17488,-36.106,149.991,low,1.0,1.0,2020-01-02,0,T,71,6.0NRT,295.0,12.5,D,New South Wales
23066,23066,-37.709,148.319,low,1.3,1.1,2020-01-03,1245,T,47,6.0NRT,291.1,10.5,N,Victoria
33737,33737,-34.295,149.906,low,4.3,1.9,2020-01-05,305,A,43,6.0NRT,291.4,92.0,D,New South Wales
2454,2454,-28.518,128.583,moderate,1.0,1.0,2019-12-29,1405,T,34,6.0NRT,302.8,5.2,N,Western Australia
4548,4548,-24.838,147.763,high,1.2,1.1,2019-12-30,345,A,92,6.0NRT,315.8,50.5,D,Queensland
481,481,-28.683,128.64,high,1.9,1.4,2019-12-29,200,T,54,6.0NRT,319.8,28.8,D,Western Australia
